Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / MPN,Google Shopping / Condition,Cost per item,Status
sw-hermit-scarlet-5,Red Legged Scarlet Hermit Crabs — 5 Pack,"<p>A 5-pack of sustainably sourced Scarlet Hermit Crabs (Paguristes cadenati) — peaceful reef-safe Caribbean invertebrates ideal for nano reef tanks (10 to 15 gallons). Solid scarlet body with distinctive yellow eyestalks. Stock at 1 crab per 2–3 gallons.</p><p><strong>About Scarlet Hermit Crabs:</strong> Peaceful reef-safe hermit crabs (Paguristes cadenati) native to the Caribbean Sea, Gulf of Mexico, and Southern Florida. Opportunistic omnivores that forage biofilm, microorganisms, and organic debris from rocks and substrate. Suitable for established saltwater systems with corals, peaceful community fish, and other invertebrates including seahorses.</p><p><strong>Sustainable sourcing:</strong> Shore Aquatic is a licensed aquaculture facility. Every Scarlet Hermit we sell is hand-collected from our own Caribbean waters by certified divers using responsible collection practices, then acclimated in our holding systems before shipping.</p><p><strong>Tank requirements:</strong> Minimum 10 gallons; established saltwater system only. Salinity 1.023–1.025 SG, temperature 72–78°F, pH 8.1–8.4, KH 8–12 dKH, calcium 400–450 ppm, magnesium 1,250–1,350 ppm. Iodine supplementation (0.06–0.10 ppm) supports proper molting.</p><p><strong>Shell bank is mandatory:</strong> Provide 3 to 5 spare empty gastropod shells per crab in varying sizes (Cerith, Turbo, Nassarius shapes work best). Hermits grow by molting and must migrate to larger shells. Without spare shells, they may compete aggressively with other tank inhabitants.</p><p><strong>Acclimation:</strong> Float the sealed bag for 15 minutes to match temperature, then drip-acclimate over 45 to 60 minutes to match salinity within 0.002 SG. Never pour bag water directly into your tank.</p><p><strong>Tankmates to avoid:</strong> Triggerfish, puffers, large wrasses, hawkfish, moray eels, aggressive Pacific hermit species, mantis shrimp, and large predatory crabs.</p><ul><li><strong>Scientific name:</strong> Paguristes cadenati</li><li><strong>Adult size:</strong> 1 to 1.5 inches</li><li><strong>Lifespan:</strong> 2 to 4 years</li><li><strong>Temperament:</strong> Peaceful, reef-safe, gregarious</li><li><strong>Water type:</strong> Saltwater (marine)</li><li><strong>Native range:</strong> Caribbean Sea, Gulf of Mexico, Southern Florida</li></ul>",Shore Aquatic,Animals & Pet Supplies > Pet Supplies > Fish Supplies,Hermit Crab,"hermit crab, scarlet hermit, red legged hermit, Paguristes cadenati, saltwater, marine, reef safe, Livestock, Saltwater Invertebrates, marine invertebrate, invertebrate, peaceful, caribbean, sustainably sourced, live arrival, 5 pack, 10–15 gallon nano reef",TRUE,Title,Default Title,SW-HERMIT-SCARLET-5,280,shopify,10,deny,manual,29.99,,TRUE,TRUE,https://shoreaquatic.com/images/hermits/scarlet-white-bg.jpg,1,"Red Legged Scarlet Hermit Crab — single specimen on white background showing scarlet body, yellow eyestalks, and protective gastropod shell",Scarlet Hermit Crabs 5-Pack | Red Legged Saltwater Hermits | Shore Aquatic,"Five sustainably sourced Caribbean scarlet hermit crabs for 10–15 gallon nano reefs. Peaceful, reef-safe, licensed aquaculture facility.",Animals & Pet Supplies > Pet Supplies > Fish Supplies,SW-HERMIT-SCARLET-5,new,7.0,active
sw-hermit-scarlet-5,,,,,,,,,,,,,,,,,,,,https://shoreaquatic.com/images/hermits/infographic-pack-sizes.jpg,2,"Pack size guide: 5-pack for 10–15 gallon reefs, 10-pack for 20–30 gallon reefs, 20-pack for 40–60 gallon reefs",,,,,,,
sw-hermit-scarlet-5,,,,,,,,,,,,,,,,,,,,https://shoreaquatic.com/images/hermits/infographic-acclimation.jpg,3,"Four-step acclimation guide: float the sealed bag 15 minutes, drip acclimate 45–60 minutes, net (do not pour), provide 3–5 spare shells per crab",,,,,,,
sw-hermit-scarlet-5,,,,,,,,,,,,,,,,,,,,https://shoreaquatic.com/images/hermits/infographic-diet.jpg,4,"Diagram of what Scarlet Hermits eat (cyanobacteria, hair algae, diatoms, detritus, uneaten food) versus what they leave alone (healthy corals, snails, fish, beneficial macroalgae, shrimp)",,,,,,,
sw-hermit-scarlet-5,,,,,,,,,,,,,,,,,,,,https://shoreaquatic.com/images/hermits/scarlet-side.jpg,5,Scarlet Hermit Crab side profile in aquarium setting showing red legs and yellow eyestalks,,,,,,,
sw-hermit-scarlet-10,Red Legged Scarlet Hermit Crabs — 10 Pack,"<p>A 10-pack of sustainably sourced Scarlet Hermit Crabs (Paguristes cadenati) — peaceful reef-safe Caribbean invertebrates ideal for mid-sized reef tanks (20 to 30 gallons). Solid red body, yellow eyestalks, adults reach 1 to 1.5 inches. Better per-crab pricing than the 5-pack.</p><p><strong>About Scarlet Hermit Crabs:</strong> Peaceful reef-safe hermit crabs (Paguristes cadenati) native to the Caribbean Sea, Gulf of Mexico, and Southern Florida. Opportunistic omnivores that forage biofilm, microorganisms, and organic debris from rocks and substrate. Suitable for established saltwater systems with corals, peaceful community fish, and other invertebrates including seahorses.</p><p><strong>Sustainable sourcing:</strong> Shore Aquatic is a licensed aquaculture facility. Every Scarlet Hermit we sell is hand-collected from our own Caribbean waters by certified divers using responsible collection practices, then acclimated in our holding systems before shipping.</p><p><strong>Tank requirements:</strong> Minimum 10 gallons; established saltwater system only. Salinity 1.023–1.025 SG, temperature 72–78°F, pH 8.1–8.4, KH 8–12 dKH, calcium 400–450 ppm, magnesium 1,250–1,350 ppm. Iodine supplementation (0.06–0.10 ppm) supports proper molting.</p><p><strong>Shell bank is mandatory:</strong> Provide 3 to 5 spare empty gastropod shells per crab in varying sizes (Cerith, Turbo, Nassarius shapes work best). Hermits grow by molting and must migrate to larger shells. Without spare shells, they may compete aggressively with other tank inhabitants.</p><p><strong>Acclimation:</strong> Float the sealed bag for 15 minutes to match temperature, then drip-acclimate over 45 to 60 minutes to match salinity within 0.002 SG. Never pour bag water directly into your tank.</p><p><strong>Tankmates to avoid:</strong> Triggerfish, puffers, large wrasses, hawkfish, moray eels, aggressive Pacific hermit species, mantis shrimp, and large predatory crabs.</p><ul><li><strong>Scientific name:</strong> Paguristes cadenati</li><li><strong>Adult size:</strong> 1 to 1.5 inches</li><li><strong>Lifespan:</strong> 2 to 4 years</li><li><strong>Temperament:</strong> Peaceful, reef-safe, gregarious</li><li><strong>Water type:</strong> Saltwater (marine)</li><li><strong>Native range:</strong> Caribbean Sea, Gulf of Mexico, Southern Florida</li></ul>",Shore Aquatic,Animals & Pet Supplies > Pet Supplies > Fish Supplies,Hermit Crab,"hermit crab, scarlet hermit, red legged hermit, Paguristes cadenati, saltwater, marine, reef safe, Livestock, Saltwater Invertebrates, marine invertebrate, invertebrate, peaceful, caribbean, sustainably sourced, live arrival, 10 pack, 20–30 gallon mid-sized reef",TRUE,Title,Default Title,SW-HERMIT-SCARLET-10,450,shopify,10,deny,manual,49.99,,TRUE,TRUE,https://shoreaquatic.com/images/hermits/scarlet-white-bg.jpg,1,"Red Legged Scarlet Hermit Crab — single specimen on white background showing scarlet body, yellow eyestalks, and protective gastropod shell",Scarlet Hermit Crabs 10-Pack | Red Legged Saltwater Hermits | Shore Aquatic,"Ten sustainably sourced Caribbean scarlet hermit crabs for 20–30 gallon reefs. Peaceful, reef-safe, licensed aquaculture facility.",Animals & Pet Supplies > Pet Supplies > Fish Supplies,SW-HERMIT-SCARLET-10,new,12.0,active
sw-hermit-scarlet-10,,,,,,,,,,,,,,,,,,,,https://shoreaquatic.com/images/hermits/infographic-pack-sizes.jpg,2,"Pack size guide: 5-pack for 10–15 gallon reefs, 10-pack for 20–30 gallon reefs, 20-pack for 40–60 gallon reefs",,,,,,,
sw-hermit-scarlet-10,,,,,,,,,,,,,,,,,,,,https://shoreaquatic.com/images/hermits/infographic-acclimation.jpg,3,"Four-step acclimation guide: float the sealed bag 15 minutes, drip acclimate 45–60 minutes, net (do not pour), provide 3–5 spare shells per crab",,,,,,,
sw-hermit-scarlet-10,,,,,,,,,,,,,,,,,,,,https://shoreaquatic.com/images/hermits/infographic-diet.jpg,4,"Diagram of what Scarlet Hermits eat (cyanobacteria, hair algae, diatoms, detritus, uneaten food) versus what they leave alone (healthy corals, snails, fish, beneficial macroalgae, shrimp)",,,,,,,
sw-hermit-scarlet-10,,,,,,,,,,,,,,,,,,,,https://shoreaquatic.com/images/hermits/scarlet-side.jpg,5,Scarlet Hermit Crab side profile in aquarium setting showing red legs and yellow eyestalks,,,,,,,
